alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Fibres (g/100 g)
Cocktail ou boisson apéritive sans alcool à base de jus de fruits sans sirop;42.8;0.03;10.7;0.04;0.15
Eau minérale, embouteillée, faiblement minéralisée (aliment moyen);0;0;0;0;0
Limonade, sucrée;33;0;8.24;0;0.14
Eau de coco;11.8;0.21;3.33;0;0
Boisson à l'eau minérale ou de source, aromatisée, sucrée;16.2;0;4.05;0;0.11
Tonic ou bitter, sans sucres ajoutés, avec édulcorants;0.2;0;0.06;0;0
Tonic ou bitter, sucré, avec édulcorants;22.2;0;5.54;0;0
Boisson au thé, aromatisée, sucrée, avec édulcorants;17.1;0.03;4.25;0.02;0.08
Limonade, sucrée, avec édulcorants;8;0;2;0;0
Sirop à diluer, sucré;252;0.25;62.5;0;0
Cola, sucré;40.1;0;10;0;0
Boisson gazeuse aux fruits (teneur en fruits >= 10% et < 50%), sucrée;46.4;0.03;11.3;0.01;0.04
Thé infusé, sans sucres ajoutés;0.4;0.1;0;0;0
Boisson plate aux fruits (teneur en fruits < 10%), sans sucres ajoutés, avec édulcorants;4.07;0.06;0.96;0;0
Tisane infusée ou infusion, sans sucres ajoutés;0.8;0;0.2;0;0
Boisson plate aux fruits (teneur en fruits < 10%), sucrée;25.6;0.13;6.39;0.11;0
Boisson plate aux fruits (teneur en fruits >= 10% et < 50%), sucrée, avec édulcorants;23.3;0.06;5.83;0.06;0
Kombucha, préemballé;6.61;0.25;1.45;0;0
Boisson gazeuse aromatisée, sans fruit, sucrée;34.5;0;8.28;0.04;0.02
Boisson à l'eau minérale ou de source, aromatisée, sans sucres ajoutés, sans édulcorants;0.1;0;0.03;0;0
Boisson rafraîchissante sans alcool (aliment moyen);27.9;0.06;6.86;0.02;0.06
Boisson à l'eau minérale ou de source, aromatisée, sans sucres ajoutés, avec édulcorants;0;0;0;0;0
Boisson gazeuse aux fruits (teneur en fruits < 10%), sucrée, avec édulcorants;27.2;0;6.79;0;0.01
Boisson gazeuse aux fruits (teneur en fruits >= 10% et < 50%), sucrée, avec édulcorants;28.1;0.02;6.92;0;0.15
Limonade, sans sucres ajoutés, avec édulcorants;0.48;0;0.12;0;0.15
Cola, sucré, avec édulcorants;24.3;0;6.07;0;0.21
Diabolo (limonade et sirop), sucré;33.9;0.06;8.43;0;0.1
Lait de coco;199;1.94;4.29;19.2;0.75
Eau minérale (aliment moyen);0.02;0;0.01;0;0
Eau minérale, embouteilée, plate (aliment moyen);0.03;0;0.01;0;0
Eau minérale, embouteilée, gazeuse (aliment moyen);0.02;0;0;0;0
Boisson gazeuse aux fruits (teneur en jus non spécifiée), sucrée (aliment moyen);44.6;0.03;10.9;0.01;0.04
Boisson gazeuse aux fruits (teneur en fruits < 10%), sucrée;33.6;0.01;8.36;0.01;0
Boisson gazeuse aux fruits (teneur en fruits < 10%), à teneur réduite en sucres;28.7;0.01;7.15;0.1;0.02
Boisson gazeuse aux fruits (teneur en fruits >= 10% et < 50%), sans sucres ajoutés, avec édulcorants;3.69;0.03;0.91;0.02;0
Boisson préparée à partir de boisson concentrée à diluer type menthe, fraise, etc, sans sucres ajoutés, avec édulcorants, type "sirop 0%", diluée dans l'eau;6;0.25;1.5;0;0
Boisson préparée à partir de sirop à diluer type menthe, fraise, etc, sucré, dilué dans l'eau;31.2;0.06;7.7;0;0
Boisson concentrée à diluer, sans sucres ajoutés, avec édulcorants, type "sirop 0%";19.5;0.25;3.79;0;0.7
Cola, sans sucres ajoutés, avec édulcorants;1.04;0;0.25;0;0
Boisson au thé, aromatisée, sans précision sur la teneur en sucres et édulcorants (aliment moyen);21.1;0.02;5.26;0;0.12
Cola, sans précision sur la teneur en sucres et édulcorants (aliment moyen);27.5;0.01;6.88;0.01;0.02
Boisson au thé, aromatisée, à teneur réduite en sucres;14.9;0;3.75;0;0.06
Boisson au thé, aromatisée, sans sucres ajoutés, avec édulcorants;0.53;0;0.22;0;0.08
Cola, sucré, sans caféine;40.9;0.05;10.2;0.05;0
Cola, sans sucres ajoutés, avec édulcorants, sans caféine;0.06;0.08;0.13;0.08;0
Café, décaféiné, poudre soluble;352;11.6;76;0.2;0
Café décaféiné, non instantané, sans sucres ajoutés, prêt à boire;4.42;0.1;0.6;0.18;0
Café expresso, non instantané, sans sucres ajoutés, prêt à boire;6.54;0.25;1.16;0.2;0
Café décaféiné, instantané, sans sucres ajoutés, prêt à boire;2.1;0.12;0.4;0;0
Café, instantané, sans sucres ajoutés, prêt à boire;1.64;0.1;0.3;0;0
Boisson au thé, aromatisée, sucrée;23.2;0.02;5.78;0;0.13
Thé, feuille;232;19.4;6.3;2;55.8
Boisson gazeuse aromatisée, sans fruit, sucrée, avec édulcorants;22.4;0.01;5.58;0;0.13
Cacao, sans sucres ajoutés, poudre soluble;387;22.4;11.6;20.6;29.5
Poudre cacaotée ou au chocolat pour boisson, sucrée;379;6.65;75.6;3.29;10.5
Poudre maltée, cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines et minéraux;402.47;9.9;79.4;5.03;0
Chocolat chaud, boisson instantanée, sucrée, prête à boire (reconstituée avec du lait demi-écrémé);65.9;3.78;9.5;1.42;0
Chocolat chaud, boisson instantanée, sucrée, enrichie en vitamines, prête à boire (reconstituée avec du lait demi-écrémé);71.4;4.08;9.91;1.71;0
Boisson à l'amande, nature, sans sucres ajoutés, non enrichie, préemballée;35.8;1.06;0.68;3.2;0
Boisson à l'amande, sucrée, enrichie en calcium, préemballée;43.9;0.69;3.96;2.8;0
Boisson à l'amande, préemballée (aliment moyen);35.8;1.06;0.68;3.2;0
Boisson végétale, préemballée (aliment moyen);43.6;2.68;2.38;2.33;0.63
Boisson au soja, préemballée (aliment moyen);46.1;3.21;2.93;2.04;0.76
Chicorée et café, poudre soluble;332;9.3;66.9;0.35;12
Café au lait, café crème ou cappuccino, instantané ou non, sans sucres ajoutés, prêt à boire;21.5;1.39;2.31;0.76;0
Chicorée, poudre soluble;323;3.3;57.2;2.5;29.2
Chicorée et café, instantané, sans sucres ajoutés, prête à boire (reconstituée avec du lait demi-écrémé);53.7;3.74;5.9;1.62;0.46
Thé noir, infusé, sans sucres ajoutés;1.26;0;0.3;0.01;0
Thé vert, infusé, sans sucres ajoutés;5.1;0;1.09;0;0
Café au lait ou cappuccino, poudre soluble;416;12.2;70.1;8.8;3.3
Chicorée, instantanée, sans sucres ajoutés, prête à boire (reconstituée avec du lait demi-écrémé);93.5;0;7.1;7.1;0.59
Chicorée et café, instantané, sans sucres ajoutés, prête à boire (reconstituée avec de l'eau);27.8;0.56;6.06;0;0.6
Café au lait ou cappuccino au chocolat, poudre soluble;384;11.2;63;9;3.5
Poudre cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines et minéraux;376;4.68;79.3;3.04;6.48
Poudre cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines;386;4.29;85;2.04;5.3
Spécialité à diluer au citron pour boissons ou usages culinaires, sans sucres ajoutés;18.4;0.25;1.01;0;0
Boisson plate aux fruits  (teneur en fruits < 10%), sucrée, rayon frais, enrichie en vitamine(s);33.7;0;8.42;0;0
Boisson plate aux fruits  (teneur en fruits >= 10% et < 50%), sucrée, enrichie en vitamine(s);38;0;9.49;0;0.18
Boisson aux fruits avec de la purée de fruits type smoothie (teneur en fruits >=50%), enrichie en vitamine(s);51.3;0.52;11.5;0.45;0.54
Boisson plate aux fruits (teneur en fruits >= 50%), rayon ambiant, enrichie en vitamine(s);45.1;0.22;10.9;0;0.71
Boisson plate aux fruits (teneur en fruits >= 50%), rayon ambiant;41.7;0.19;10;0.11;0.43
Citronnade, boisson plate au citron (teneur en fruits >= 10% et < 50%), sucrée;23.2;0;5.77;0.01;0.19
Boisson aux fruits avec de la purée de fruits type smoothie (teneur en fruits >= 50%), sans sucres ajoutés, rayon frais;67.5;0.8;12.1;1.45;1.4
Boisson plate aux fruits (teneur en fruits >= 10% et < 50%), à teneur réduite en sucres;18.8;0.22;4.71;0.22;0
Boisson plate aux fruits (teneur en fruits >= 10% et < 50%), sans sucres ajoutés;13;0.05;3.18;0.01;0
Boisson à l'aloe vera, sucrée;32.9;0.09;8.11;0;0.07
Boisson plate aux fruits (teneur en fruits non spécifiée), sucrée;45.8;0.1;11.2;0.07;0
Boisson plate au(x) fruits et au(x) légume(s);42.9;0.31;10;0.12;0.67
Kéfir d'eau et de fruits, préemballé;3.6;0.1;0.9;0;0
Boisson énergisante, sans précision sur la teneur en sucres et édulcorants (aliment moyen);35.2;0.1;8.77;0;0.11
Boisson plate aux fruits (teneur en fruits non spécifiée), sans précision sur la teneur en sucres et édulcorants ni sur l'enrichissement (aliment moyen);39.3;0.18;9.38;0.13;0.22
Boisson à l'eau minérale ou de source, aromatisée, sans précision sur la teneur en sucres et édulcorants (aliment moyen);1.88;0;0.47;0;0.09
Limonade, sans précision sur la teneur en sucres et édulcorants (aliment moyen);28.4;0;7.09;0;0.13
Boisson préparée à partir de sirop ou de boisson concentrée à diluer type menthe, fraise, etc, diluée dans l'eau, sans précision sur la teneur en sucres et édulcorants (aliment moyen);29.2;0.07;7.21;0;0
Boisson gazeuse aromatisée, sans fruit, sans précision sur la teneur en sucres et édulcorants (aliment moyen);27.6;0.01;6.87;0.01;0.04
Boisson plate aux fruits (teneur en fruits >= 10% et < 50%), sucrée;41.1;0.13;9.92;0.14;0.19
Boisson gazeuse aux fruits (teneur en fruits < 10%), sans sucres ajoutés, avec édulcorants;2.06;0.06;0.45;0;0
Boisson gazeuse à la pomme (teneur en fruits >= 50%), sans sucres ajoutés;30;0;7.5;0;0
Boisson au(x) fruit(s) et au lait;47.7;0.68;10.7;0.04;0.53
Tonic ou bitter, sucré;33.1;0;8.27;0;0.14
Boisson gazeuse aux fruits (teneur en fruits < 10%), sans sucres ajoutés, sans édulcorants;16.7;0;4.17;0;0
Boisson à la sève de bouleau;2.8;0.06;0.7;0.06;0
Boisson pour le sport, sucrée;21.7;0;5.41;0;0
Boisson pour le sport, sucrée, avec édulcorants;19.3;0;4.82;0;0
Boisson énergisante, sucrée;40.9;0.1;10.2;0;0.11
Boisson énergisante, sans sucres ajoutés, avec édulcorants, enrichie en vitamines;8.57;0.11;2.06;0.01;0.13
Boisson énergisante, sucrée, avec édulcorants;27.6;0.04;6.86;0;0.13
Tonic ou bitter, sans précision sur la teneur en sucres et édulcorants (aliment moyen);28.8;0;7.21;0;0.15
Boisson à l'avoine, nature, sans sucres ajoutés, non enrichie, préemballée;41;0.25;7.78;1.1;0
Boisson au soja, nature, non enrichie, préemballée;42.4;3.19;1.87;2.1;0.71
Boisson au soja, nature, enrichie en calcium, préemballée;44.2;3.42;2.18;2.05;1
Boisson au soja, aromatisée, sucrée, non enrichie, préemballée;61.9;3.08;7.54;1.8;0.73
Boisson au soja, aromatisée, sucrée, enrichie en calcium, préemballée;43.2;3.01;2.89;1.8;1.1
Boisson au riz, nature, préemballée;52.2;0.23;10.8;1;0
Boisson à la châtaigne, nature, préemballée;67.9;0.21;13.5;1.4;0.61
Boisson à la noix de coco, nature, préemballée;29.9;0.21;2.75;2.1;0
Lait de grand mélange, en vrac;64.4;3.28;4.65;3.66;0
Lait entier, cru;39.6;0;0;4.4;0
Lait de croissance infantile, liquide (aliment lacté destiné aux enfants en bas âge);60.9;1.28;7.77;2.71;0
Lait 1er âge, prêt à consommer (préparation pour nourrissons);71.3;1.21;8.04;3.79;0
Lait 2e âge, prêt à consommer (préparation de suite);65.1;1.21;8.23;2.9;0.5
Lait infantile pour prématurés, prêt à consommer;423.4;0;48.5;24.7;3.55
Lait entier (aliment moyen);63.9;3.42;4.78;3.49;0
Lait en poudre, entier;508;26.6;42;26.2;0
Lait entier, UHT;64.6;3.46;4.77;3.55;0
Lait entier, pasteurisé;61.8;3.3;4.8;3.3;0
Lait concentré sans sucres ajoutés, entier;119;6.44;9.91;5.9;0
Lait concentré sucré, entier;327;7.7;56.5;7.87;0
Lait demi-écrémé (aliment moyen);47.5;3.46;4.97;1.55;0
Lait demi-écrémé, UHT, enrichi en vitamine D;46.6;3.38;4.8;1.52;0
Lait à 1,2% MG, UHT, enrichi en vitamines;44.1;3.38;4.79;1.25;0
Lait, sans précision sur la teneur en matière grasse, UHT (aliment moyen);47.7;3.48;4.97;1.57;0
Lait demi-écrémé, UHT;47.7;3.48;5;1.56;0
Lait demi-écrémé, pasteurisé;46.4;3.19;4.9;1.54;0
Lait en poudre, demi-écrémé;459;31.5;43.4;17.5;0
Lait écrémé, UHT;34.4;3.6;5.01;0.02;0
Lait écrémé, pasteurisé;32.7;3.37;4.7;0.08;0
Lait en poudre, écrémé;361;35.3;54;0.7;0
Lait demi-écrémé (ou à teneur en matière grasse légèrement inférieure), UHT,  à teneur réduite en lactose;44.4;3.45;4.69;1.29;0
Boisson lactée aromatisée à la vanille, sucrée, au lait partiellement écrémé, enrichie en vitamine D;57.4;2.04;11;0.6;0
Boisson lactée aromatisée au café, sucrée, au lait partiellement écrémé, enrichie en vitamine(s) et/ou minéraux;50.6;2.96;8.9;0.38;0
Boisson lactée aromatisée au café, sucrée, au lait partiellement écrémé, non enrichie;70.3;3.12;8.84;2.33;0.88
Boisson lactée aromatisée au chocolat, sucrée, au lait partiellement écrémé, non enrichie;72.8;3.49;11;1.58;0.5
Boisson lactée aromatisée au chocolat, sucrée, au lait partiellement écrémé, enrichie en vitamine(s) et/ou minéraux;66.5;3.02;10.8;1.15;0.58
Boisson lactée aromatisée (sans précision sur l'arôme), sucrée, au lait partiellement écrémé, enrichie et/ou restaurée en vitamine(s) et/ou minéraux (aliment moyen);61;2.65;10.7;0.84;0.2
Boisson lactée aromatisée à la fraise, sucrée, au lait partiellement écrémé, enrichie en vitamine D;58.8;2.53;10.7;0.72;0.03
Lait de chèvre, entier, UHT;64.6;2.96;4.2;4.02;0
Lait de chèvre, demi-écrémé, UHT;45.8;3.77;4.13;1.57;0
Lait de chèvre, entier, cru;57.4;3.22;4.01;3.2;0
Lait de jument, entier;50;2.41;6.22;1.73;0
Lait de brebis, entier;103;5.68;4.5;6.97;0
Lait de bufflesse, entier;86.55;0;5.1;7.35;0
Crème ou spécialité à base de crème légère, sans précision sur la teneur en matière grasse (aliment moyen);248;2.45;2.86;25;0.93
Crème ou spécialité à base de crème légère, sans précision sur la teneur en matière grasse, fluide (aliment moyen);244;2.49;3.97;24.2;0
Crème ou spécialité à base de crème légère, sans précision sur la teneur en matière grasse, épaisse ou semi-épaisse (aliment moyen);165;2.67;4.53;14.7;0.96
Crème 30% MG, épaisse, rayon frais;285;2.32;1.38;29.9;0
Crème d'Isigny, >= 35% MG;382;2.55;3;40;0
Crème 30% MG, semi-épaisse, UHT;294;2.49;1.94;30.7;0
Crème 30% MG, fluide, UHT;293;2.2;3.69;30;0
Crème chantilly, sous pression, UHT;305;2.11;10.6;28.2;0
Crème 12 à 25% MG, légère, semi-épaisse, UHT;189;2.78;4.34;17.6;1.5
Crème 12 à 25% MG, légère, épaisse, rayon frais;162;2.65;4.55;14.4;0.9
Spécialité à base de crème légère 4-5% MG, fluide ou épaisse;75;3.06;4.5;5;0
Spécialité à base de crème légère 4% MG environ, fluide ou épaisse;73.2;3.25;5.28;4.3;0
Spécialité culinaire à base de crème et d'aromates 19% MG, à cuisiner;195;3.06;3;19;0
Spécialité culinaire à base de crème légère et d'aromates 12% MG, à cuisiner;128;3.06;2;12;0
Crème 12 à 20% MG, légère, fluide, rayon frais;173;2.96;4.3;16;0
Fromage de chèvre pané à dorer, préemballé;284.4;12.9;15;19.2;0
Lait fermenté à boire, aromatisé, avec édulcorants, allégé en sucres, 0% MG, au L Casei;27.5;2.9;3.64;0.1;0.35
Fromage blanc, nature ou aux fruits (aliment moyen);80;7.02;6.34;2.83;0.02
Lait fermenté ou yaourt à boire, aromatisé, sucré;65.9;3.16;10.7;0.89;0.14
Lait fermenté à boire, aromatisé, sucré, au L Casei;69.7;3.06;10.8;1.6;0.03
Lait fermenté ou yaourt à boire, aromatisé, sucré, enrichi en vitamine D;73.3;2.98;12.3;1.39;0.08
Lait fermenté ou yaourt à boire, aux fruits, sucré;84.6;2.91;11.9;2.49;0.08
Lait fermenté ou yaourt à boire, aux fruits, sucré, enrichi en vitamine D;74;2.9;12.4;1.42;0.1
Lait fermenté à boire, nature, sucré, au L Casei;69.6;3.06;10.8;1.6;0
Lait fermenté type yaourt au bifidus, aromatisé, sucré;86.5;3.85;10.8;2.81;0.75
Lait fermenté type yaourt au bifidus, aux fruits, 0% MG, avec édulcorants;48.1;4.67;6.71;0.09;1.08
Lait fermenté type yaourt au bifidus, aux fruits, sucré;87.7;3.76;10.8;2.83;0.7
Lait fermenté type yaourt aux esters de stérol, aux fruits, 0% MG, avec édulcorants;47;3.88;6.6;0.5;0.45
Lait fermenté type yaourt au bifidus, nature, 0% MG;42.9;4.39;5.75;0.3;0
Lait fermenté type yaourt au bifidus, nature;92.3;6.35;10.8;2.38;0
Yaourt à la grecque nature, au lait de brebis;124;4.82;4.28;9.78;0
Lait fermenté à boire, aromatisé, sucré,  enrichi en vitamine D, au L Casei;73.3;2.84;12.1;1.53;0
Yaourt à la grecque sur lit de fruits, sucré;126;2.34;14.4;6.53;0.27
Yaourt au lait de brebis, aromatisé, sucré;93.1;5.04;9.16;3.7;0.17
Yaourt au lait de brebis, nature, 3% MG environ;66.5;5.61;3.48;3.01;0.13
Yaourt au lait de brebis, sur lit de fruits, sucré;112;4.34;15.2;3.73;0.47
Yaourt au lait de chèvre, nature;74.4;4.28;2.53;4.9;0.25
Yaourt ou lait fermenté, sur lit de fruits, sucré;97.6;4.08;14;2.77;0.3
Yaourt ou lait fermenté, aromatisé, 0% MG, avec édulcorants;54.4;5.09;7.73;0.06;0
Fromage frais type petit suisse, aromatisé chocolat, sucré;165;4.21;22.5;6.48;0.2
Yaourt ou lait fermenté, aromatisé, 0% MG, avec édulcorants, enrichi en vitamine D;52.3;4.58;7.75;0.39;0
Yaourt ou lait fermenté, aromatisé, sucré;86.1;3.15;12.7;2.25;0.02
Yaourt ou lait fermenté, aromatisé, à la crème, sucré;123;2.98;13;6.59;0.01
Yaourt ou lait fermenté, aromatisé, sucré, enrichi en vitamine D;71.4;3.16;11.7;1.06;0.07
Yaourt ou lait fermenté, aux céréales;111;3.64;16;3.43;1
Yaourt ou lait fermenté, aux copeaux de chocolat, à la crème, sucré;126;3.62;14.9;5.52;0.2
Yaourt ou lait fermenté, aux fruits, 0% MG, avec édulcorants;45.1;4.38;5.66;0;0.7
Yaourt ou lait fermenté, aux fruits, 0% MG, avec édulcorants, enrichi en vitamine D;45.5;4.31;6;0;0.6
Mascarpone;369;6;3.1;37;0
Ricotta;145.18;8.13;4.09;10.7;0
Yaourt ou lait fermenté, aux fruits, sucré;88.9;3.23;12.6;2.41;0.6
Yaourt ou lait fermenté, aux fruits, à la crème, sucré;113;2.73;13.4;5.1;0.14
Mozzarella au lait de vache;227;16.5;0.7;17.7;0
Mozzarella au lait de bufflonne ou buflesse ("di bufala");260;14.5;0.18;22.3;0.06
Yaourt ou lait fermenté, aux fruits, sucré, enrichi en vitamine D;89.5;3.32;12.3;2.65;0.2
Yaourt ou lait fermenté, nature;50.1;3.83;4.26;1.68;0
Yaourt ou lait fermenté, nature, 0% MG;39.1;4.16;4.89;0;0.03
Yaourt ou lait fermenté, nature, 0% MG, enrichi en vitamine D;38.5;4.58;4.86;0.19;0.12
Yaourt ou lait fermenté, nature, à la crème;107;3.22;3.8;8.5;0
Yaourt ou lait fermenté, nature, sucré;81.7;2.92;10.7;2.81;0.03
Yaourt ou lait fermenté, nature, sans précision sur teneur en matière grasse et sucre (aliment moyen);62.3;3.93;5.85;2.3;0.03
Yaourt ou lait fermenté, nature ou aux fruits (aliment moyen);72.9;3.7;7.98;2.6;0.18
Yaourt ou lait fermenté, aux fruits (aliment moyen);91.2;3.29;11.7;3.12;0.43
Faisselle au coulis de fruits;93;3.57;8.5;5;0
Faisselle, 0% MG;36.8;4.52;4.65;0.05;0.08
Faisselle, 6% MG environ;83.6;4.47;3.36;5.5;0.21
Fromage blanc et crème fouettée, sur lit de fruits, sucré;145;4.59;16;7;0
Fromage blanc, nature, 0% MG;48.4;7.34;4.22;0;0.04
Fromage blanc, nature, 0% MG, enrichi en vitamine D;49.6;7.57;4.76;0.1;0
Fromage blanc, nature, 2-3% MG;75.7;7.28;3.86;3.23;0.02
Fromage blanc, nature, 2-3% MG, enrichi en vitamine D;75.5;6.3;4.87;3.12;0.03
Fromage blanc et crème fouettée, nature;133;6.72;3.8;9.94;0
Fromage blanc ou spécialité laitière, aux copeaux de chocolat, 7-8% MG, sucré;152;6.1;16.3;6.93;0.1
Fromage blanc ou spécialité laitière, aux fruits, 0% MG, sucré;80.3;7.42;12.8;0;0
Fromage blanc ou spécialité laitière, aux fruits, 2-3% MG, sucré;98.3;6.15;12;2.86;0.28
Fromage blanc ou spécialité laitière, aux fruits, 6-7% MG, sucré;139;5.57;14.4;6.55;0.34
Fromage blanc ou spécialité laitière, sur lit de fruits, 7-8% MG, sucré;129;4.13;12.8;6.91;0
Fromage frais type petit suisse, nature, 0% MG;56.5;9.9;4.2;0.1;0
Fromage frais type petit suisse, nature, 4% MG environ;88;9.71;3.11;3.9;0
Mousse de fromage blanc sur lit de fruits, 0% MG, avec édulcorants, enrichie en calcium et vitamine D;56.2;6.48;6;0.45;1.35
Fromage frais type petit suisse, nature, 10% MG environ;137;9.19;2.61;9.89;0.78
Spécialité laitière riche en protéines, sur lit de fruits, sucrée;97.6;7.46;11.5;2.29;0
Yaourt ou lait fermenté, aromatisé ou aux fruits, 0% MG (aliment moyen);47.2;4.54;6.14;0.05;0.54
Yaourt ou lait fermenté, aromatisé ou aux fruits, non allégé en matière grasse (aliment moyen);91.6;3.15;12.5;2.92;0.23
Crème dessert, allégée en matière grasse, rayon frais;78.2;3.66;12.6;1.1;1.5
Flan aux oeufs, rayon frais;113;4.23;17.7;2.74;0.38
Yaourt ou lait fermenté, aromatisé ou aux fruits, avec édulcorants (aliment moyen);47.2;4.54;6.14;0.05;0.54
Yaourt ou lait fermenté, aromatisé ou aux fruits, sucré (aliment moyen);91.9;3.16;12.6;2.94;0.23
