alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Fibres (g/100 g)
Pain aux raisins (viennoiserie), artisanal;345;5.81;53.4;11.5;1.4
Pain au chocolat, artisanal;423;7.47;45.4;22.5;3
Pain au chocolat, préemballé;421;6.28;48.6;21.4;2.72
Brioche (ou briochettes) aux pépites de chocolat ou fourrée au chocolat, préemballée;352;8.17;51.1;12.1;2.98
Brioche fourrée aux fruits, préemballée;326;5.81;52.4;9;5.5
Brioche fourrée crème pâtissière (type "chinois"), préemballée;267;5.81;45.7;6;3.4
Brioche nature, préemballée;356;7.99;52.7;12.1;2.09
Brioche nature, artisanale;420;11.3;50.7;19.1;0
Couronne des rois (brioche) aux fruits confits, préemballée;353;7.2;52.8;12.3;1.35
Brioche pur beurre (ex : gâche vendéenne) nature, préemballée;361;8.21;51.1;13.3;2.03
Brioche, sans précision (aliment moyen);363;8.41;52.1;13;1.94
Focaccia, garnie;233;8;29.5;8.75;2.25
Fougasse, garnie;320;9.53;42.1;11.8;3.2
Tortilla souple (à garnir), à base de maïs;316;6.08;58;5.57;3.57
Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.), préemballé;321;11.6;25.6;18.4;2.3
Tortilla souple (à garnir), à base de blé;320;8.01;53;7.48;2.89
Rillettes traditionnelles de porc;391;13;3.73;36;0
Rillettes pur porc;413;16.7;0.13;38.3;0.21
Rillettes supérieures de porc;402;15.5;0.17;37.7;0.05
Rillettes de Tours (porc);522;18;0.1;50;0
Rillettes du Mans (porc);420;15.6;4.79;37.6;0.21
Rillettes pur oie;417;14.7;0.1;39.8;0
Rillettes de canard;377;15.3;1.03;34.6;0
Rillettes d'oie;364;14.9;0.99;33.4;0
Rillettes de poulet;340;16.4;0.49;30.3;0.25
Rillettes de crabe, préemballées;210;9.16;4.61;16.6;2.61
Rillettes de poisson, préemballées;242;13.9;0;20.7;0
Rillettes de saumon, préemballées;242;12.9;2.77;19.6;1.2
Rillettes de thon, préemballées;235;13.6;1.88;18.8;1.69
Rillettes de maquereau, préemballées;246;11;1;22;0
Confit de canard, viande (cuisse), sans peau, appertisé, réchauffé;195;32;0;7.4;0
Confit de canard, appertisé;273;25.7;0.15;18.8;0.4
Canard, magret fumé;362;18;0.5;32;0
Confit de foie de porc;320;15.4;1.3;28.1;0.5
Confit de foie de volaille;361;13.7;6.22;31;1
Pâté au poivre vert;358;10.1;1.45;34.6;0
Pâté au jambon;302;14.7;1.04;26.5;0.39
Pâté ou terrine de campagne;323;15.5;1.5;28.2;0
Pâté ou terrine de campagne, à teneur réduite en sel;324;13.8;4.2;27.9;0.25
Pâté breton;363;11;2.88;34;0.5
Terrine de canard;322;13.2;5.64;27.1;0.54
Pâté de lapin;286;14.7;1.73;24.5;0.15
Terrine de lapin;266;19;6.44;18;1
